symbol	log2FC
?	-0.06381743191449463
?	0.15607744925278424
?	0.2123885198570841
?	-0.047061803705315125
?	-0.08857371005031991
?	0.0
?	-0.07072271930722936
?	0.11727251612166809
?	0.0
?	0.0
?	-0.008951788331721531
?	-0.030740215092315854
?	-0.24410075373768153
?	-0.05210042864062277
?	0.07476441853634923
?	0.0
?	-0.012343983397372488
?	0.0
?	-0.019881064131022752
?	0.03297893984118354
?	-0.012128853611777773
?	0.14581268622693883
?	-0.09230636247856694
?	0.0
?	-0.015137089899684774
?	-0.02085464215563129
?	-0.01823476182940096
?	0.05666185213023156
?	0.024497115008883144
A1BG	-0.25245021666063994
A1CF	0.0007104325758736408
A2BP1	-0.011302193094258476
A2LD1	0.12934739341467197
A2ML1	0.06313636502665312
A2M	0.5838388369762467
A4GALT	0.5799201555011639
A4GNT	0.04703661752733458
AAA1	-0.0023422108225495163
AAAS	0.05348579858917633
AACSL	-0.005199060084065219
AACS	-0.012916326365349964
AADACL2	-0.008319568215277602
AADACL3	-0.0053840273137900525
AADACL4	-0.0016620025568120991
AADAC	-0.08927808539245184
AADAT	-0.14896116231252318
AAGAB	0.07592236002591798
AAK1	-0.1727268335877925
AAMP	-0.00785375496738733
AANAT	-0.008055599120289525
AARS2	0.04679504536094921
AARSD1	-0.14116724442576947
AARS	0.05232929778781392
AASDHPPT	0.18379288354014597
AASDH	0.13542832489428133
AASS	0.004347267688293441
AATF	0.0255674436435552
AATK	-0.028225836840800916
ABAT	-0.05543057391737781
ABCA10	0.25128211803200934
ABCA11P	0.19506026788685035
ABCA12	0.03549027132846881
ABCA13	0.03440787005435477
ABCA17P	0.08136273075832626
ABCA1	-0.20597368802102753
ABCA2	0.2508293514751733
ABCA3	0.025856341865738177
ABCA4	0.010626601132025426
ABCA5	0.35109230817432113
ABCA6	-0.22162113877136683
ABCA7	0.03960923736700357
ABCA8	-0.4371018565602865
ABCA9	-0.25226577050808946
ABCB10	-0.023861398762388502
ABCB11	-0.10741944794072997
ABCB1	0.6495167668787586
ABCB4	0.17860952327456472
ABCB5	-0.022630561898695865
ABCB6	-0.007582368589026073
ABCB7	0.10106330089042609
ABCB8	0.06257011364275632
ABCB9	0.03431327506515007
