GO:0000002+mitochondrial genome maintenance	10000,1890,291,4205,4358,4976,55154,55186,80119,84275,92667,9361
GO:0000003+reproduction	2796,2797,286826,8510
GO:0000012+single strand break repair	100133315,200558,23411,3981,54840,55775,7141,7515
GO:0000018+regulation of DNA recombination	10189,3575,3836,3838,56916,9984
GO:0000019+regulation of mitotic recombination	10111,2068,4361
GO:0000022+mitotic spindle elongation	9055,9493
GO:0000023+maltose metabolic process	2548,2595,8972
GO:0000027+ribosomal large subunit assembly	140801,220717,23195,23212,23246,29997,4839,51187,54475,55052,55299,56342,57418,6122,6123,6125,6128,6134,6135,6136,6147,6152,6175,65003,84154,84231
GO:0000028+ribosomal small subunit assembly	26284,27341,3921,51065,51081,5822,6193,6204,6208,6209,6223,6232,6234,64963,91695,93144
GO:0000032+cell wall mannoprotein biosynthetic process	4351
GO:0000038+very long-chain fatty acid metabolic process	10965,10998,122970,225,23205,28965,30,3295,51,5828,641371,66002,8529
GO:0000045+autophagosome assembly	10533,11152,11337,11345,115201,137886,165324,171024,22863,22878,23130,23192,23241,23673,23710,23766,25989,26100,285180,285973,29978,29979,345611,440026,440738,441925,51715,5289,55054,55062,55102,55626,55968,56270,5663,57535,58476,5861,60673,643246,64422,7879,79065,81631,81671,83452,83460,8408,84557,84938,8678,89849,9140,94241,9474,9531,9706,9776,9821
GO:0000050+urea cycle	10166,1050,1373,162417,383,384,435,445,5009,83884
GO:0000052+citrulline metabolic process	23564,23576,445
GO:0000053+argininosuccinate metabolic process	445
GO:0000054+ribosomal subunit export from nucleus	3692,6059,7514
GO:0000055+ribosomal large subunit export from nucleus	23212,4869,4927,51042,51068,55153,56647,5901,7514
GO:0000056+ribosomal small subunit export from nucleus	4869,4927,5901,6209,7514,84946
GO:0000070+mitotic sister chromatid segregation	10051,10403,10615,11130,146909,25936,27175,3619,3833,3834,4085,4751,51203,5347,54617,55143,55154,5901,7283,7290,7756,79003,79980,81930,8243,84861,90417,9183,9184,9400,9700
GO:0000076+DNA replication checkpoint	1763,54962,5883,5884,81620,8318,8914,990
GO:0000077+DNA damage checkpoint	1111,11200,1432,1869,25896,25988,261726,26270,29935,29980,3014,3364,440275,4683,472,51776,545,57646,5781,5810,5883,5884,63967,7158,80254,83695,83990,84126,84444,8682,9575
GO:0000079+regulation of cyclin-dependent protein serine/threonine kinase activity	1019,1022,1026,1027,1030,10309,1031,1032,1033,10983,11140,1647,23560,27013,2810,2965,29950,4331,51191,54619,56647,57018,5728,595,60,641,645121,79616,79935,80279,81669,85417,8812,8851,890,8900,891,892,894,8941,896,898,899,900,901,902,904,905,9077,9088,9133,9134,92002,990,993,995
GO:0000082+G1/S transition of mitotic cell cycle	1017,1018,1019,1021,1026,1027,1029,1031,1032,1033,10769,10926,1104,11040,1263,128239,131405,143384,1977,1978,23133,23594,23595,23649,245711,25988,26524,2935,29935,3400,3624,3688,4149,4171,4172,4173,4174,4175,4176,4331,4609,4678,4998,4999,5000,5001,51053,51270,51379,54107,5422,5426,5427,5471,5530,5537,55388,5557,5558,56655,57663,57695,58480,586,5925,5932,595,6117,6118,6119,6198,6502,6881,8065,815,81620,8317,8318,83844,8450,8451,84515,8452,8453,8454,8554,898,90,91,9113,9134,990,993,997
GO:0000083+regulation of transcription involved in G1/S transition of mitotic cell cycle	1719,1869,1874,1876,23476,25988,26271,2672,4863,4998,5111,5422,571,573971,6241,7027,7029,7298,81620,8318,8462,8900,898,990
GO:0000086+G2/M transition of mitotic cell cycle	10083,10121,10133,10142,1017,1026,1030,10382,10383,10540,10657,1069,10733,10763,10776,10806,11064,11113,11116,11190,11200,11258,115106,121441,1263,1453,1454,1639,1778,1781,1785,2029,203068,219771,22822,22897,22919,22981,22994,22995,2305,23194,23236,23291,23332,23354,3320,4751,4957,5048,5108,5116,51400,51451,5218,5243,5347,54801,54820,54850,54930,55125,55142,5518,5520,55559,5566,55722,55755,5577,55835,57325,6500,6502,6790,6873,7164,7277,7283,7465,7480,7531,7532,7840,7846,79176,79441,79831,79866,79959,80028,80184,80254,80321,805,808,84131,8454,8481,8493,84930,84962,8636,8655,890,891,8945,9024,9088,9113,9133,93323,95681,9662,9702,9738,9793,9814,983,9833,993,994,995
GO:0000096+sulfur amino acid metabolic process	191,23743,4143,635,9054
GO:0000097+sulfur amino acid biosynthetic process	1036
GO:0000098+sulfur amino acid catabolic process	1491,25828,339896,4357,7263,84890
GO:0000103+sulfate assimilation	6820,9060,9061
GO:0000105+histidine biosynthetic process	441024,4522
GO:0000117+regulation of transcription involved in G2/M transition of mitotic cell cycle	571
