	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
9335	chr6	28557291	28558006	-0.067743635	1.083898165	162995	157870	157886	17	25	ZBED9	NM_001329616 NM_052923 NP_001316545 NP_443155 XM_011514283 XM_011514284 XM_011514285 XM_011514286 XM_011514287 XM_011514288 XM_017010231 XP_011512585 XP_011512586 XP_011512587 XP_011512588 XP_011512589 XP_011512590 XP_016865720	promoter	promoter	2179	NA	NA	NA	4	NA	-	15705	NA	114821	8202
1316	chr5	96038240	96039066	0.088450648	1.061407779	154395	138377	138388	12	13	CAST	NM_001042440 NM_001042441 NM_001042442 NM_001042443 NM_001042444 NM_001042445 NM_001042446 NM_001190442 NM_001284212 NM_001284213 NM_001330626 NM_001330627 NM_001330628 NM_001330629 NM_001330630 NM_001330631 NM_001330632 NM_001330633 NM_001330634 NM_001750 NM_173060 NM_173061 NM_173062 NM_173063 NP_001035905 NP_001035906 NP_001035907 NP_001035908 NP_001035909 NP_001035910 NP_001035911 NP_001177371 NP_001271141 NP_001271142 NP_001317555 NP_001317556 NP_001317557 NP_001317558 NP_001317559 NP_001317560 NP_001317561 NP_001317562 NP_001317563 NP_001741 NP_775083 NR_033798 NR_104285 XM_006714696 XM_006714697 XM_006714698 XM_006714699 XM_006714700 XM_006714701 XM_006714702 XM_006714703 XM_006714704 XM_006714705 XM_006714706 XM_006714707 XM_006714708 XM_006714709 XM_006714710 XM_006714711 XM_006714712 XM_006714713 XM_006714714 XM_006714715 XM_011543654 XM_011543655 XM_011543656 XM_011543657 XM_011543658 XM_017009911 XM_017009912 XM_017009913 XM_017009914 XM_017009915 XM_017009916 XM_017009917 XM_017009918 XM_017009919 XM_017009920 XM_017009921 XM_017009922 XM_017009923 XM_017009924 XM_017009925 XM_017009926 XM_017009927 XM_017009928 XM_017009929 XM_017009930 XM_017009931 XM_017009932 XP_006714759 XP_006714760 XP_006714761 XP_006714762 XP_006714763 XP_006714764 XP_006714765 XP_006714766 XP_006714767 XP_006714768 XP_006714769 XP_006714770 XP_006714771 XP_006714772 XP_006714773 XP_006714774 XP_006714775 XP_006714776 XP_006714777 XP_006714778 XP_011541956 XP_011541957 XP_011541958 XP_011541959 XP_011541960 XP_016865400 XP_016865401 XP_016865402 XP_016865403 XP_016865404 XP_016865405 XP_016865406 XP_016865407 XP_016865408 XP_016865409 XP_016865410 XP_016865411 XP_016865412 XP_016865413 XP_016865414 XP_016865415 XP_016865416 XP_016865417 XP_016865418 XP_016865419 XP_016865420 XP_016865421	inside intron	inside	6751	inside intron	-6628	1	30	5' UTR	+	77102	NA	831	63895
8412	chr4	183061830	183063637	-0.077247454	1.004216905	148632	125553	125566	14	22	LOC90768	NR_027107 NR_125905	inside exon	inside	2031	inside exon	0	4	4	inside transcription region	-	5509	NA	90768	69183
2501	chr1	247712110	247712591	-0.101999686	0.815997492	20169	46556	46563	8	8	GCSAML	NM_001281834 NM_001281835 NM_001281836 NM_001281837 NM_001281838 NM_001281853 NM_145278 NP_001268763 NP_001268764 NP_001268765 NP_001268766 NP_001268767 NP_001268782 NP_660321 XM_017000399 XP_016855888	inside intron	inside	41716	inside intron	14300	3	5	inside transcription region	+	69454	NA	148823	12689
3879	chr12	2800182	2801158	-0.071469071	0.786159785	42799	302964	302975	12	14	CACNA1C	NM_000719 NM_001129827 NM_001129829 NM_001129830 NM_001129831 NM_001129832 NM_001129833 NM_001129834 NM_001129835 NM_001129836 NM_001129837 NM_001129838 NM_001129839 NM_001129840 NM_001129841 NM_001129842 NM_001129843 NM_001129844 NM_001129846 NM_001167623 NM_001167624 NM_001167625 NM_199460 NP_000710 NP_001123299 NP_001123301 NP_001123302 NP_001123303 NP_001123304 NP_001123305 NP_001123306 NP_001123307 NP_001123308 NP_001123309 NP_001123310 NP_001123311 NP_001123312 NP_001123313 NP_001123314 NP_001123315 NP_001123316 NP_001123318 NP_001161095 NP_001161096 NP_001161097 NP_955630 XM_006719017 XM_011521020 XM_011521023 XM_017019926 XM_017019927 XM_017019928 XM_017019929 XM_017019930 XM_017019931 XM_017019932 XM_017019933 XM_017019934 XM_017019935 XM_017019936 XM_017019937 XM_017019938 XM_017019939 XM_017019940 XM_017019941 XM_017019942 XM_017019943 XM_017019944 XM_017019945 XM_017019946 XM_017019947 XM_017019948 XM_017019949 XM_017019950 XM_017019951 XM_017019952 XM_017019953 XM_017019954 XM_017019955 XP_006719080 XP_011519322 XP_011519325 XP_016875415 XP_016875416 XP_016875417 XP_016875418 XP_016875419 XP_016875420 XP_016875421 XP_016875422 XP_016875423 XP_016875424 XP_016875425 XP_016875426 XP_016875427 XP_016875428 XP_016875429 XP_016875430 XP_016875431 XP_016875432 XP_016875433 XP_016875434 XP_016875435 XP_016875436 XP_016875437 XP_016875438 XP_016875439 XP_016875440 XP_016875441 XP_016875442 XP_016875443 XP_016875444	inside exon	inside	13417	inside exon	0	7	7	overlaps 3'UTR	+	20350	NA	775	59294
8596	chr5	1874703	1876168	-0.095333946	0.762671564	150102	129439	129446	8	15	IRX4	NM_001278632 NM_001278633 NM_001278634 NM_001278635 NM_016358 NP_001265561 NP_001265562 NP_001265563 NP_001265564 NP_057442	downstream	downstream	11125	NA	NA	NA	6	NA	-	9752	NA	50805	38694
3266	chr10	134732891	134734693	-0.094279716	0.754237731	30417	272285	272292	8	8	CFAP46	NM_001200049 NM_017609 NM_173572 NP_001186978	covers exon(s)	inside	21396	covers exon(s)	0	15	58	inside transcription region	-	134193	NA	54777	42767
4507	chr13	107354273	107354993	-0.074756906	0.672812156	56836	335427	335435	9	9	LINC00443	NR_047026	downstream	downstream	48045	NA	NA	NA	3	NA	+	18300	NA	100874173	3418
10797	chr8	1105035	1106555	-0.065670405	0.656704054	185267	218890	218900	11	15	NA	NA	downstream	downstream	417448	NA	NA	NA	4	NA	+	400190	NA	619343	51236
3277	chr10	134751598	134752472	-0.093166303	0.652164118	30429	272326	272332	7	7	CFAP46	NM_001200049 NM_017609 NM_173572 NP_001186978	covers exon(s)	inside	3617	covers exon(s)	0	5	6	inside transcription region	-	5468	NA	54777	42770
